cluster, 830.57, 954.38, 1052.41, 1122.89, 1181.49, 1230.76, 1284.59, 1338.46, 1383.63, 1424.26, 1468.75, 1510.30, 1551.61, 1598.01, 1637.16, 1677.26, 1727.26, 1785.48, 1873.52, 
LRTPA, 1599.20, 2166.15, 2553.00, 2856.02, 3113.11, 3344.68, 3560.39, 3768.20, 3974.00, 4181.83, 4404.35, 4647.64, 4926.01, 5282.27, 5818.72, 7387.04, 0.00, 0.00, 0.00, 
blockp2p, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
blockp2p, 1135.07, 1454.71, 1619.23, 2007.80, 2173.89, 2286.06, 2418.35, 2928.36, 3220.19, 3349.48, 3460.25, 3635.78, 3931.47, 4036.24, 4157.19, 4252.88, 4368.18, 4443.53, 4608.43, 
perigee_ubc, 1371.36, 1523.35, 1617.34, 1692.07, 1751.86, 1802.78, 1850.03, 1896.17, 1940.19, 1981.76, 2021.24, 2060.86, 2100.55, 2142.38, 2186.50, 2232.39, 2283.56, 2346.62, 2441.89, 
random_flood, 1791.56, 1986.84, 2104.78, 2193.68, 2263.90, 2325.36, 2379.45, 2429.69, 2475.53, 2520.74, 2563.80, 2607.32, 2650.55, 2695.91, 2743.93, 2796.92, 2858.59, 2935.99, 3052.94, 
LRTPA, 1599.20, 2166.15, 2553.00, 2856.02, 3113.11, 3344.68, 3560.39, 3768.20, 3974.00, 4181.83, 4404.35, 4647.64, 4926.01, 5282.27, 5818.72, 7387.04, 0.00, 0.00, 0.00, 
LRTPA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
LRTPA, 1599.20, 2166.15, 2553.00, 2856.02, 3113.11, 3344.68, 3560.39, 3768.20, 3974.00, 4181.83, 4404.35, 4647.64, 4926.01, 5282.27, 5818.72, 7387.04, 0.00, 0.00, 0.00, 
LRTPA, 1326.13, 1641.37, 1830.62, 1967.85, 2078.44, 2173.85, 2255.93, 2330.64, 2400.25, 2466.14, 2530.28, 2593.69, 2658.36, 2724.29, 2794.58, 2872.35, 2963.26, 3080.50, 3267.64, 
LRTPA, 1106.24, 1330.47, 1465.15, 1567.68, 1647.49, 1714.99, 1776.15, 1833.07, 1886.34, 1935.43, 1982.74, 2031.56, 2080.83, 2131.97, 2185.41, 2244.49, 2313.32, 2400.88, 2535.67, 
LRTPA, 1501.65, 1869.33, 2067.27, 2207.54, 2313.93, 2402.52, 2479.25, 2547.55, 2610.91, 2670.86, 2728.28, 2785.27, 2842.37, 2901.42, 2963.83, 3032.02, 3111.34, 3212.20, 3369.59, 
LRTPA, 1214.02, 1466.24, 1616.29, 1721.00, 1806.54, 1879.53, 1942.28, 1998.50, 2052.73, 2104.30, 2154.32, 2203.20, 2252.92, 2304.76, 2359.58, 2419.82, 2489.07, 2577.77, 2715.11, 
LRTPA, 1095.27, 1311.28, 1440.37, 1538.09, 1616.43, 1681.66, 1739.80, 1794.90, 1847.10, 1895.88, 1942.26, 1988.47, 2036.53, 2087.00, 2140.40, 2198.49, 2265.56, 2351.66, 2485.47, 
LRTPA, 1065.52, 1274.59, 1401.39, 1495.52, 1574.63, 1640.01, 1697.57, 1750.42, 1802.62, 1852.08, 1899.38, 1945.35, 1991.60, 2041.44, 2094.45, 2153.39, 2220.09, 2306.11, 2438.28, 
LRTPA, 1065.52, 1274.59, 1401.39, 1495.52, 1574.63, 1640.01, 1697.57, 1750.42, 1802.62, 1852.08, 1899.38, 1945.35, 1991.60, 2041.44, 2094.45, 2153.39, 2220.09, 2306.11, 2438.28, 
random_flood, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
random_flood, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
random_flood, 1791.56, 1986.84, 2104.78, 2193.68, 2263.90, 2325.36, 2379.45, 2429.69, 2475.53, 2520.74, 2563.80, 2607.32, 2650.55, 2695.91, 2743.93, 2796.92, 2858.59, 2935.99, 3052.94, 
random_flood, 1791.56, 1986.84, 2104.78, 2193.68, 2263.90, 2325.36, 2379.45, 2429.69, 2475.53, 2520.74, 2563.80, 2607.32, 2650.55, 2695.91, 2743.93, 2796.92, 2858.59, 2935.99, 3052.94, 
LRTPA, 1063.76, 1274.27, 1400.92, 1494.19, 1572.58, 1638.62, 1695.92, 1748.35, 1800.00, 1849.97, 1897.50, 1943.99, 1990.51, 2040.01, 2093.51, 2152.90, 2220.54, 2305.85, 2440.04, 
LRTPA, 1063.76, 1274.27, 1400.92, 1494.19, 1572.58, 1638.62, 1695.92, 1748.35, 1800.00, 1849.97, 1897.50, 1943.99, 1990.51, 2040.01, 2093.51, 2152.90, 2220.54, 2305.85, 2440.04, 
LRTPA, 1063.76, 1274.27, 1400.92, 1494.19, 1572.58, 1638.62, 1695.92, 1748.35, 1800.00, 1849.97, 1897.50, 1943.99, 1990.51, 2040.01, 2093.51, 2152.90, 2220.54, 2305.85, 2440.04, 
LRTPA, 1093.89, 1306.35, 1435.42, 1531.33, 1610.13, 1675.23, 1733.47, 1788.82, 1841.03, 1890.20, 1936.59, 1982.99, 2030.65, 2081.61, 2135.68, 2193.70, 2261.09, 2348.50, 2483.66, 
LRTPA, 1093.89, 1306.35, 1435.42, 1531.33, 1610.13, 1675.23, 1733.47, 1788.82, 1841.03, 1890.20, 1936.59, 1982.99, 2030.65, 2081.61, 2135.68, 2193.70, 2261.09, 2348.50, 2483.66, 
LRTPA, 1093.89, 1306.35, 1435.42, 1531.33, 1610.13, 1675.23, 1733.47, 1788.82, 1841.03, 1890.20, 1936.59, 1982.99, 2030.65, 2081.61, 2135.68, 2193.70, 2261.09, 2348.50, 2483.66, 
LRTPA, 1093.89, 1306.35, 1435.42, 1531.33, 1610.13, 1675.23, 1733.47, 1788.82, 1841.03, 1890.20, 1936.59, 1982.99, 2030.65, 2081.61, 2135.68, 2193.70, 2261.09, 2348.50, 2483.66, 
LRTPA, 1093.89, 1306.35, 1435.42, 1531.33, 1610.13, 1675.23, 1733.47, 1788.82, 1841.03, 1890.20, 1936.59, 1982.99, 2030.65, 2081.61, 2135.68, 2193.70, 2261.09, 2348.50, 2483.66, 
LRTPA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
LRTPA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
LRTPA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
LRTPA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
